file,line_number,classification,match_tier,reason,raw_date,date,account_raw,account_code,account_name,description,csv_key_raw,csv_debit,csv_credit,csv_net,alms_id,alms_date,alms_account_code,alms_account_name,alms_description,alms_debit,alms_credit,alms_net
Copy of General_ledger2.csv,63,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:L14 2010 Ford E-450 Bus A09591,Limousines,& Busses:L14 2010 Ford E-450 Bus A09591,Journal Entry,,2567.05,,2567.05,,,,,,,,
Copy of General_ledger2.csv,66,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:L18 2003 Ford Excursion D67617,Limousines,& Busses:L18 2003 Ford Excursion D67617,Journal Entry,,24000.00,,24000.00,,,,,,,,
Copy of General_ledger2.csv,71,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses - Amort:Amort - L-10,Limousines,& Busses - Amort:Amort - L-10,Journal Entry,,,40674.53,-40674.53,,,,,,,,
Copy of General_ledger2.csv,74,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses - Amort:Amort - L-11,Limousines,& Busses - Amort:Amort - L-11,Journal Entry,,,11386.51,-11386.51,,,,,,,,
Copy of General_ledger2.csv,77,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses - Amort:Amort - L-6,Limousines,& Busses - Amort:Amort - L-6,Journal Entry,,,57496.00,-57496.00,,,,,,,,
Copy of General_ledger2.csv,80,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses - Amort:Amort - L-7,Limousines,& Busses - Amort:Amort - L-7,Journal Entry,,,111250.00,-111250.00,,,,,,,,
Copy of General_ledger2.csv,83,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses - Amort:Amort - L-8,Limousines,& Busses - Amort:Amort - L-8,Journal Entry,,,64130.62,-64130.62,,,,,,,,
Copy of General_ledger2.csv,86,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses - Amort:Amort - L-9,Limousines,& Busses - Amort:Amort - L-9,Journal Entry,,,22066.67,-22066.67,,,,,,,,
Copy of General_ledger2.csv,90,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1710 Computer Equipment,1710,Computer Equipment,Journal Entry,,8454.10,,8454.10,,,,,,,,
Copy of General_ledger2.csv,93,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1720 Furniture and Equipment,1720,Furniture and Equipment,Journal Entry,,9550.57,,9550.57,,,,,,,,
Copy of General_ledger2.csv,94,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1720 Furniture and Equipment,1720,Furniture and Equipment,Journal Entry,,857.00,,857.00,,,,,,,,
Copy of General_ledger2.csv,97,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,13.98,,13.98,,,,,,,,
Copy of General_ledger2.csv,98,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,4400.43,,4400.43,,,,,,,,
Copy of General_ledger2.csv,99,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,29600.52,,29600.52,,,,,,,,
Copy of General_ledger2.csv,100,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,1897.01,,1897.01,,,,,,,,
Copy of General_ledger2.csv,101,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,3000.00,,3000.00,,,,,,,,
